Feature 1,Feature 2,cluster,huge_cluster_tip,huge_cluster
15.400751,7.114376,0,polar,1.0
15.459733,7.9012823,0,polar,1.0
15.5323,8.008122,0,polar,1.0
15.635096,7.5837526,0,polar,1.0
5.18684,8.305571,1,low_polar+aliphatic+G+P,0.0
15.064294,8.731782,0,polar,1.0
14.192754,15.154478,2,P,3.0
15.298754,7.2845817,0,polar,1.0
3.3583643,11.326216,1,low_polar+aliphatic+G+P,0.0
14.809671,7.833305,0,polar,1.0
3.6268969,13.650194,1,low_polar+aliphatic+G+P,0.0
6.0013647,10.251604,1,low_polar+aliphatic+G+P,0.0
4.561001,11.702459,1,low_polar+aliphatic+G+P,0.0
5.073767,10.154052,1,low_polar+aliphatic+G+P,0.0
15.341533,8.304171,0,polar,1.0
2.6544223,1.3482742,3,pos_neg_charged,2.0
15.412154,7.383061,0,polar,1.0
13.890611,16.812006,2,P,3.0
13.784891,16.672329,2,P,3.0
4.1903706,12.135964,1,low_polar+aliphatic+G+P,0.0
5.9517803,13.014037,1,low_polar+aliphatic+G+P,0.0
3.2751722,11.850882,1,low_polar+aliphatic+G+P,0.0
5.876334,9.988759,1,low_polar+aliphatic+G+P,0.0
14.583102,8.253651,0,polar,1.0
5.4003353,9.619846,1,low_polar+aliphatic+G+P,0.0
16.560999,7.2506175,0,polar,1.0
8.158528,-0.5632397,4,pos_neg_charged,2.0
1.5152464,12.350582,1,low_polar+aliphatic+G+P,0.0
15.678192,6.445524,0,polar,1.0
5.150285,10.699476,1,low_polar+aliphatic+G+P,0.0
3.0562086,11.241452,1,low_polar+aliphatic+G+P,0.0
5.7492604,13.169765,1,low_polar+aliphatic+G+P,0.0
3.6674871,9.816102,1,low_polar+aliphatic+G+P,0.0
5.6741652,13.235844,1,low_polar+aliphatic+G+P,0.0
2.1716688,11.868429,1,low_polar+aliphatic+G+P,0.0
15.351808,6.905815,0,polar,1.0
5.375282,12.838711,1,low_polar+aliphatic+G+P,0.0
4.030588,9.181706,1,low_polar+aliphatic+G+P,0.0
5.0685363,10.570618,1,low_polar+aliphatic+G+P,0.0
13.368551,3.1517806,5,polar,1.0
15.54618,6.6795692,0,polar,1.0
5.3908424,11.433647,1,low_polar+aliphatic+G+P,0.0
5.1190276,11.470627,1,low_polar+aliphatic+G+P,0.0
2.6002285,1.650994,3,pos_neg_charged,2.0
3.9964292,12.189075,1,low_polar+aliphatic+G+P,0.0
2.1410687,1.2666858,3,pos_neg_charged,2.0
3.3341637,9.729289,1,low_polar+aliphatic+G+P,0.0
1.6124861,10.75865,1,low_polar+aliphatic+G+P,0.0
3.9765925,11.651619,1,low_polar+aliphatic+G+P,0.0
3.631505,9.284135,1,low_polar+aliphatic+G+P,0.0
4.199504,13.012062,1,low_polar+aliphatic+G+P,0.0
13.76013,15.642713,2,P,3.0
4.8962555,11.163693,1,low_polar+aliphatic+G+P,0.0
6.03824,12.144821,1,low_polar+aliphatic+G+P,0.0
2.31214,12.522727,1,low_polar+aliphatic+G+P,0.0
6.2193594,11.104274,1,low_polar+aliphatic+G+P,0.0
5.8070602,9.814963,1,low_polar+aliphatic+G+P,0.0
14.262306,15.557058,2,P,3.0
3.8775744,10.736591,1,low_polar+aliphatic+G+P,0.0
3.4574761,10.47165,1,low_polar+aliphatic+G+P,0.0
